Date,Price,Open,High,Low,Vol.,Change %
2018-02-18,89.88,89.1,90.23,88.95,-,0.88%
2018-02-11,89.1,90.35,90.43,88.25,-,-1.48%
2018-02-04,90.44,89.35,90.57,89.02,-,1.40%
2018-01-28,89.19,89.11,89.64,88.56,-,0.13%
2018-01-21,89.07,90.44,90.7,88.44,-,-1.66%
2018-01-14,90.57,90.94,91.0,90.11,-,-0.44%
2018-01-07,90.97,92.06,92.64,90.9,-,-1.07%
2017-12-31,91.95,92.24,92.26,91.75,-,-0.18%
2017-12-24,92.12,93.37,93.4,92.08,-,-1.32%
2017-12-17,93.35,93.98,94.03,93.16,-,-0.62%
2017-12-10,93.93,93.93,94.22,93.28,-,0.03%
2017-12-03,93.9,93.17,94.09,93.03,-,1.09%
2017-11-26,92.89,92.73,93.5,92.5,-,0.12%
2017-11-19,92.78,93.71,94.17,92.67,-,-0.94%
2017-11-12,93.66,94.42,94.64,93.4,-,-0.77%
2017-11-05,94.39,94.87,95.15,94.26,-,-0.58%
2017-10-29,94.94,94.83,95.02,94.41,-,0.02%
2017-10-22,94.92,93.82,95.15,93.48,-,1.30%
2017-10-15,93.7,93.08,93.8,93.06,-,0.66%
2017-10-08,93.09,93.77,93.84,92.75,-,-0.76%
2017-10-01,93.8,93.22,94.27,93.12,-,0.77%
2017-09-24,93.08,92.42,93.67,92.21,-,0.99%
2017-09-17,92.17,91.95,92.7,91.53,-,0.33%
2017-09-10,91.87,91.44,92.66,91.42,-,0.57%
2017-09-03,91.35,92.66,92.73,91.01,-,-1.57%
2017-08-27,92.81,92.32,93.35,91.62,-,0.08%
2017-08-20,92.74,93.45,93.63,92.42,-,-0.74%
2017-08-13,93.43,93.07,94.14,93.05,-,0.39%
2017-08-06,93.07,93.51,93.89,92.93,-,-0.50%
2017-07-30,93.54,93.36,93.77,92.55,-,0.30%
2017-07-23,93.26,93.94,94.28,93.15,-,-0.64%
2017-07-16,93.86,95.09,95.35,93.85,-,-1.36%
2017-07-09,95.15,96.03,96.2,95.09,-,-0.90%
2017-07-02,96.01,95.65,96.51,95.63,-,0.40%
2017-06-25,95.63,97.24,97.47,95.47,-,-1.68%
2017-06-18,97.26,97.1,97.87,97.05,-,0.10%
2017-06-11,97.16,97.22,97.56,96.32,-,-0.11%
2017-06-04,97.27,96.73,97.5,96.51,-,0.57%
2017-05-28,96.72,97.43,97.78,96.65,-,-0.74%
2017-05-21,97.44,97.22,97.55,96.8,-,0.31%
2017-05-14,97.14,99.15,99.26,97.08,-,-2.13%
2017-05-07,99.25,98.79,99.89,98.6,-,0.61%
2017-04-30,98.65,98.93,99.46,98.54,-,-0.40%
2017-04-23,99.05,98.97,99.33,98.69,-,-0.93%
2017-04-16,99.98,100.49,100.47,99.37,-,-0.58%
2017-04-09,100.56,101.18,101.34,100.01,-,-0.61%
2017-04-02,101.18,100.5,101.26,100.37,-,0.83%
2017-03-26,100.35,99.47,100.65,98.86,-,0.72%
2017-03-19,99.63,100.36,100.47,99.53,-,-0.67%
2017-03-12,100.3,101.31,101.79,100.14,-,-0.94%
2017-03-05,101.25,101.4,102.25,101.17,-,-0.29%
2017-02-26,101.54,101.11,102.26,100.69,-,0.45%
2017-02-19,101.09,100.93,101.72,100.66,-,0.14%
2017-02-12,100.95,100.84,101.76,100.41,-,0.15%
2017-02-05,100.8,99.65,101.01,99.63,-,0.93%
2017-01-29,99.87,100.32,101.02,99.23,-,-0.66%
2017-01-22,100.53,100.74,100.82,99.79,-,-0.21%
2017-01-15,100.74,101.66,101.73,100.26,-,-0.43%
2017-01-08,101.18,102.25,102.95,100.72,-,-1.02%
2017-01-01,102.22,102.38,103.82,101.3,-,0.01%
2016-12-25,102.21,103.01,103.63,101.91,-,-0.78%
2016-12-18,103.01,102.9,103.65,102.52,-,0.06%
2016-12-11,102.95,101.71,103.56,100.73,-,1.34%
2016-12-04,101.59,100.84,101.74,99.43,-,0.81%
2016-11-27,100.77,101.25,101.83,100.62,-,-0.71%
2016-11-20,101.49,101.28,102.05,100.65,-,0.28%
2016-11-13,101.21,99.13,101.48,99.13,-,2.17%
2016-11-06,99.06,97.54,99.13,95.89,-,2.06%
2016-10-30,97.06,98.3,98.7,96.89,-,-1.31%
2016-10-23,98.35,98.64,99.12,98.24,-,-0.34%
2016-10-16,98.69,98.15,98.81,97.61,-,0.68%
2016-10-09,98.02,96.63,98.13,96.46,-,1.44%
2016-10-02,96.63,95.54,97.19,95.46,-,1.23%
2016-09-25,95.46,95.4,95.96,95.13,-,-0.02%
2016-09-18,95.48,96.07,96.33,95.05,-,-0.66%
2016-09-11,96.11,95.3,96.11,94.94,-,0.81%
2016-09-04,95.34,95.89,95.89,94.47,-,-0.52%
2016-08-28,95.84,95.61,96.25,95.19,-,0.28%
2016-08-21,95.57,94.72,95.59,94.21,-,1.12%
2016-08-14,94.51,95.65,95.8,94.08,-,-1.26%
2016-08-07,95.72,96.29,96.52,95.25,-,-0.49%
2016-07-31,96.19,95.59,96.52,95.0,-,0.69%
2016-07-24,95.53,97.35,97.57,95.38,-,-1.99%
2016-07-17,97.47,96.59,97.54,96.47,-,0.92%
2016-07-10,96.58,96.29,96.79,95.83,-,0.29%
2016-07-03,96.3,95.69,96.7,95.34,-,0.68%
2016-06-26,95.65,96.07,96.7,95.41,-,0.21%
2016-06-19,95.45,93.87,96.7,93.02,-,1.32%
2016-06-12,94.21,94.65,95.32,94.07,-,-0.38%
2016-06-05,94.57,94.02,94.71,93.42,-,0.57%
2016-05-29,94.03,95.7,95.97,93.86,-,-1.56%
2016-05-22,95.52,95.32,95.78,94.94,-,0.20%
2016-05-15,95.33,94.65,95.5,94.33,-,0.76%
2016-05-08,94.61,93.91,94.84,93.68,-,0.77%
2016-05-01,93.89,93.02,93.96,91.92,-,0.87%
2016-04-24,93.08,95.11,95.08,93.01,-,-2.14%
2016-04-17,95.12,94.59,95.2,93.92,-,0.44%
2016-04-10,94.7,94.1,95.2,93.63,-,0.50%
2016-04-03,94.23,94.56,95.07,94.02,-,-0.41%
2016-03-27,94.62,96.27,96.4,94.32,-,-1.58%
2016-03-20,96.14,95.15,96.36,95.0,-,1.10%
2016-03-13,95.09,96.31,97.06,94.58,-,-1.12%
2016-03-06,96.17,97.4,98.42,95.94,-,-1.20%
2016-02-28,97.34,98.17,98.58,97.02,-,-0.83%
2016-02-21,98.15,96.78,98.26,96.73,-,1.60%
2016-02-14,96.6,96.08,97.17,95.94,-,0.69%
2016-02-07,95.94,97.06,97.48,95.24,-,-1.12%
2016-01-31,97.03,99.55,99.63,96.26,-,-2.59%
2016-01-24,99.61,99.52,99.83,98.42,-,0.04%
2016-01-17,99.57,98.8,99.8,98.63,-,0.62%
2016-01-10,98.96,98.41,99.33,98.25,-,0.43%
2016-01-03,98.54,98.59,99.63,98.05,-,-0.09%
2015-12-27,98.63,97.95,98.78,97.8,-,0.66%
2015-12-20,97.98,98.68,98.84,97.86,-,-0.73%
2015-12-13,98.7,97.61,99.29,97.19,-,1.17%
2015-12-06,97.56,98.38,98.9,97.22,-,-0.80%
2015-11-29,98.35,100.08,100.51,97.59,-,-1.67%
2015-11-22,100.02,99.66,100.2,99.31,-,0.46%
2015-11-15,99.56,99.0,99.85,98.73,-,0.57%
2015-11-08,99.0,99.27,99.5,98.43,-,-0.17%
2015-11-01,99.17,96.69,99.34,96.64,-,2.29%
2015-10-25,96.95,97.15,97.82,96.47,-,-0.19%
2015-10-18,97.13,94.67,97.2,94.55,-,2.74%
2015-10-11,94.54,94.86,94.98,93.81,-,-0.28%
2015-10-04,94.81,95.84,96.17,94.69,-,-1.06%
2015-09-27,95.83,96.29,96.5,95.22,-,-0.46%
2015-09-20,96.27,95.36,96.7,95.04,-,1.49%
2015-09-13,94.86,95.2,95.84,94.06,-,-0.35%
2015-09-06,95.19,96.15,96.42,95.11,-,-1.08%
2015-08-30,96.23,96.19,96.62,95.19,-,0.12%
2015-08-23,96.11,94.86,96.32,92.62,-,1.16%
2015-08-16,95.01,96.56,97.08,94.8,-,-1.56%
2015-08-09,96.52,97.54,97.92,95.93,-,-1.07%
2015-08-02,97.56,97.22,98.33,97.16,-,0.23%
2015-07-26,97.34,97.2,97.77,96.29,-,0.10%
2015-07-19,97.24,97.93,98.15,96.89,-,-0.63%
2015-07-12,97.86,96.09,97.98,95.63,-,1.91%
2015-07-05,96.03,96.42,97.23,95.45,-,-0.08%
2015-06-28,96.11,96.11,96.42,94.68,-,0.67%
2015-06-21,95.47,94.0,95.67,93.81,-,1.48%
2015-06-14,94.08,95.16,95.39,93.56,-,-0.94%
2015-06-07,94.97,96.47,96.55,94.32,-,-1.39%
2015-05-31,96.31,96.9,97.68,94.65,-,-0.62%
2015-05-24,96.91,96.23,97.78,96.17,-,0.83%
2015-05-17,96.11,93.23,96.27,93.27,-,3.19%
2015-05-10,93.14,94.79,95.26,93.13,-,-1.74%
2015-05-03,94.79,95.25,95.95,93.88,-,-0.54%
2015-04-26,95.3,96.95,97.28,94.4,-,-1.67%
2015-04-19,96.92,97.34,98.45,96.75,-,-0.62%
2015-04-12,97.52,99.47,99.99,97.0,-,-1.83%
2015-04-05,99.34,96.59,99.69,96.33,-,2.89%
2015-03-29,96.55,97.37,98.67,96.39,-,-0.76%
2015-03-22,97.29,97.65,98.24,96.17,-,-0.63%
2015-03-15,97.91,100.32,100.27,96.63,-,-2.41%
2015-03-08,100.33,97.8,100.39,97.29,-,2.79%
2015-03-01,97.61,95.38,97.73,95.06,-,2.40%
2015-02-22,95.32,94.22,95.36,94.06,-,1.04%
2015-02-15,94.34,94.1,94.79,93.8,-,0.15%
2015-02-08,94.2,94.81,95.11,93.9,-,-1.72%
2015-02-01,95.85,94.58,95.85,93.25,-,1.11%
2015-01-25,94.8,95.23,95.33,93.7,-,0.04%
2015-01-18,94.76,92.71,95.48,92.15,-,2.42%
2015-01-11,92.52,91.88,93.26,91.51,-,0.63%
2015-01-04,91.94,91.13,92.53,91.12,-,0.94%
2014-12-28,91.08,89.98,91.16,89.79,-,1.17%
2014-12-21,90.03,89.63,90.16,89.37,-,0.48%
2014-12-14,89.6,88.21,89.65,87.63,-,1.40%
2014-12-07,88.36,89.4,89.55,87.91,-,-1.09%
2014-11-30,89.33,88.16,89.47,87.78,-,1.10%
2014-11-23,88.36,88.44,88.44,87.52,-,0.06%
2014-11-16,88.31,87.51,88.39,87.18,-,0.89%
2014-11-09,87.53,87.43,88.27,87.22,-,-0.13%
2014-11-02,87.64,87.08,88.19,86.88,-,0.83%
2014-10-26,86.92,85.7,87.13,85.19,-,1.39%
2014-10-19,85.73,85.28,85.94,84.74,-,0.73%
2014-10-12,85.11,85.82,86.01,84.47,-,-0.93%
2014-10-05,85.91,86.64,86.67,84.94,-,-0.90%
2014-09-28,86.69,85.62,86.75,85.45,-,1.23%
2014-09-21,85.64,84.78,85.69,84.36,-,1.07%
2014-09-14,84.73,84.11,84.8,83.86,-,0.58%
2014-09-07,84.24,83.83,84.52,83.8,-,0.60%
2014-08-31,83.74,82.77,83.94,82.67,-,1.20%
2014-08-24,82.75,82.61,82.75,82.31,-,0.50%
2014-08-17,82.34,81.43,82.46,81.38,-,1.13%
2014-08-10,81.42,81.42,81.69,81.36,-,-0.04%
2014-08-03,81.45,81.3,81.72,81.26,-,0.18%
2014-07-27,81.3,81.04,81.57,80.98,-,0.33%
2014-07-20,81.03,80.52,81.08,80.42,-,0.63%
2014-07-13,80.52,80.22,80.69,80.08,-,0.41%
2014-07-06,80.19,80.25,80.36,79.98,-,-0.10%
2014-06-29,80.27,80.04,80.31,79.74,-,0.31%
2014-06-22,80.02,80.37,80.43,80.01,-,-0.44%
2014-06-15,80.37,80.61,80.71,80.15,-,-0.26%
2014-06-08,80.58,80.43,80.9,80.3,-,0.21%
2014-06-01,80.41,80.36,81.02,80.24,-,0.05%
2014-05-25,80.37,80.4,80.58,80.17,-,-0.02%
2014-05-18,80.39,80.08,80.44,79.88,-,0.44%
2014-05-11,80.04,79.9,80.34,79.78,-,0.18%
2014-05-04,79.9,79.48,79.92,78.91,-,0.48%
2014-04-27,79.52,79.74,79.92,79.41,-,-0.29%
2014-04-20,79.75,79.89,79.99,79.66,-,-0.10%
2014-04-13,79.83,79.62,79.9,79.56,-,0.48%
2014-04-06,79.45,80.44,80.45,79.33,-,-1.21%
2014-03-30,80.42,80.15,80.6,79.96,-,0.30%
2014-03-23,80.18,80.09,80.29,79.75,-,0.09%
2014-03-16,80.11,79.43,80.35,79.28,-,0.83%
2014-03-09,79.45,79.69,79.93,79.27,-,-0.34%
2014-03-02,79.72,79.9,80.27,79.43,-,0.04%
2014-02-23,79.69,80.28,80.58,79.69,-,-0.69%
2014-02-16,80.24,80.08,80.42,79.93,-,0.11%
2014-02-09,80.15,80.77,80.83,80.06,-,-0.67%
2014-02-02,80.69,81.28,81.32,80.6,-,-0.76%
2014-01-26,81.31,80.46,81.32,80.3,-,1.06%
2014-01-19,80.46,81.17,81.39,80.15,-,-0.94%
2014-01-12,81.22,80.58,81.3,80.44,-,0.69%
2014-01-05,80.66,80.86,81.19,80.53,-,-0.16%
2013-12-29,80.79,80.29,80.89,79.93,-,0.50%
2013-12-22,80.39,80.53,80.62,79.69,-,-0.24%
2013-12-15,80.58,80.23,80.83,79.81,-,0.46%
2013-12-08,80.21,80.25,80.42,79.76,-,-0.12%
2013-12-01,80.31,80.66,80.99,80.22,-,-0.46%
2013-11-24,80.68,80.69,81.02,80.48,-,-0.04%
2013-11-17,80.71,80.82,81.29,80.49,-,-0.17%
2013-11-10,80.85,81.29,81.46,80.73,-,-0.55%
2013-11-03,81.3,80.69,81.48,80.38,-,0.72%
2013-10-27,80.72,79.23,80.78,79.15,-,1.93%
2013-10-20,79.19,79.62,79.82,79.0,-,-0.58%
2013-10-13,79.65,80.29,80.75,79.48,-,-0.95%
2013-10-06,80.41,80.06,80.59,79.84,-,0.35%
2013-09-29,80.13,80.34,80.38,79.63,-,-0.20%
2013-09-22,80.29,80.32,80.65,80.11,-,-0.17%
2013-09-15,80.43,81.23,81.35,80.06,-,-1.25%
2013-09-08,81.45,82.26,82.31,81.36,-,-0.85%
2013-09-01,82.15,82.05,82.67,82.02,-,0.07%
2013-08-25,82.09,81.34,82.26,81.11,-,0.90%
2013-08-18,81.36,81.3,81.72,80.75,-,0.12%
2013-08-11,81.26,81.24,81.94,81.05,-,0.16%
2013-08-04,81.13,81.92,82.08,80.87,-,-0.95%
2013-07-28,81.91,81.6,82.49,81.41,-,0.31%
2013-07-21,81.66,82.61,82.55,81.55,-,-1.16%
